MR	ref
name[Blue Spice], eatType[coffee shop], area[city centre]	Blue Spice is a coffee shop located in the city centre.
name[Blue Spice], eatType[coffee shop], area[riverside]	Blue Spice is a riverside coffee shop with a high price range.
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a 5 out of 5 rated coffee shop near Crowne Plaza Hotel.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is an average rated coffee shop near Burger King.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is an average rated coffee shop near Crowne Plaza Hotel.
name[Blue Spice], eatType[pub], area[city centre]	Blue Spice is a pub in the city centre.
name[Blue Spice], eatType[pub], area[riverside]	Blue Spice is a pub in the riverside area.
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a 5 out of 5 rated pub near the Crowne Plaza Hotel.
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice is a pub near Burger King with an average customer rating.
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	There is a pub near the Crowne Plaza Hotel called Blue Spice. It has an average customer rating.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub that provides Chinese food. It is located in the city centre and is near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a pub that provides Chinese food. It is located in the city centre and is near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub that provides Chinese food. It is located in the riverside and is near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a pub that provides Chinese food. It is located in the riverside and is near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an English pub near Rainbow Vegetarian Café in the city centre. It is not family-friendly.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly pub that serves English food. It is located in the city centre near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an English pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub that serves English food. It is located near Rainbow Vegetarian Café in the riverside area.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant located in the city centre near Rainbow Vegetarian Café. It is not family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	There is a family friendly Chinese restaurant in the city centre near Rainbow Vegetarian Café called Blue Spice.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant located in the riverside area near Rainbow Vegetarian Café. It is not family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly Chinese restaurant in the riverside area near Rainbow Vegetarian Café.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a restaurant located in the city centre near Rainbow Vegetarian Café. It serves English food and is not family-friendly.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly restaurant that serves English food. It is located in the city centre near Rainbow Vegetarian Café.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an English restaurant near the Rainbow Vegetarian Café in the riverside area. It is not family-friendly.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly English restaurant near the Rainbow Vegetarian Café in the riverside area.
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Clowns is a coffee shop near All Bar One with a customer rating of 3 out of 5.
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.
name[Clowns], eatType[coffee shop], near[The Sorrento]	Clowns is a coffee shop near The Sorrento.
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Clowns is a pub near All Bar One with a customer rating of 3 out of 5.
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a pub near the Crowne Plaza Hotel with a customer rating of 5 out of 5.
name[Clowns], eatType[pub], near[The Sorrento]	Clowns is a pub near The Sorrento.
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	There is a highly rated coffee shop named Cocum near Burger King.
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	A highly rated coffee shop near Café Sicilia is Cocum.
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	The coffee shop, Cocum, is located near Café Sicilia. It has a low customer rating.
name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	There is a low rated coffee shop named Cocum near Express by Holiday Inn.
name[Cocum], eatType[coffee shop], near[The Rice Boat]	There is a coffee shop named Cocum near The Rice Boat. It is in the low price range.
name[Cocum], eatType[coffee shop], near[The Sorrento]	A coffee shop named Cocum is located near The Sorrento.
name[Cocum], eatType[pub], customer rating[high], near[Burger King]	The highly rated Cocum is a pub near the Burger King.
name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]	Near Café Sicilia is a pub named Cocum with a high customer rating.
name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]	The pub Cocum is located near Café Sicilia. It has a low customer rating.
name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]	There is a pub near the Express by Holiday Inn called Cocum. It has a low customer rating.
name[Cocum], eatType[pub], near[The Rice Boat]	The pub Cocum is located near The Rice Boat.
name[Cocum], eatType[pub], near[The Sorrento]	The pub called Cocum is located near The Sorrento.
name[Cotto], eatType[coffee shop], near[The Bakers]	Cotto is a coffee shop near The Bakers.
name[Cotto], eatType[pub], near[The Bakers]	Cotto is a pub near The Bakers.
name[Giraffe], eatType[coffee shop], near[The Bakers]	Giraffe is a coffee shop located near The Bakers.
name[Giraffe], eatType[coffee shop], near[The Rice Boat]	Giraffe is a coffee shop located near The Rice Boat.
name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Near the Rainbow Vegetarian Café in the riverside area is a family friendly pub called Giraffe that serves English food.
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	The Giraffe is a fast food pub located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	The Giraffe is a family-friendly fast food pub in the city centre near Rainbow Vegetarian Café.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	The Giraffe is a pub located near the Rainbow Vegetarian Café. It is not family friendly.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Near the Rainbow Vegetarian Café in the riverside area is a family friendly pub called Giraffe that serves fast food.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly pub that serves fast food. It is located in the riverside area near Raja Indian Cuisine.
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a pub located in the city centre near Raja Indian Cuisine. It serves French food and is not family-friendly.
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly pub serving French food in the city centre near Raja Indian Cuisine.
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a pub located in the riverside area near Raja Indian Cuisine. It is not family-friendly.
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly French pub in the riverside area near Raja Indian Cuisine.
name[Giraffe], eatType[pub], near[The Bakers]	Giraffe is a pub near The Bakers.
name[Giraffe], eatType[pub], near[The Rice Boat]	Giraffe is a pub near The Rice Boat.
name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	The Giraffe is a family friendly English restaurant near the Rainbow Vegetarian Café in the riverside area.
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	The Giraffe is a fast food restaurant located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	The Giraffe is a family-friendly fast food restaurant in the city centre near Rainbow Vegetarian Café.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	The Giraffe is a fast food restaurant in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	The Giraffe is a family friendly fast food restaurant near the Rainbow Vegetarian Café in the riverside area.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly fast food restaurant in the riverside area near Raja Indian Cuisine.
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a French restaurant located in the city centre near Raja Indian Cuisine. It is not family-friendly.
name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family-friendly French restaurant located in the city centre near Raja Indian Cuisine.
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Giraffe is a French restaurant located in the riverside area near Raja Indian Cuisine. It is not family-friendly.
name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Giraffe is a family friendly French restaurant in the riverside area near Raja Indian Cuisine.
name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]	The Green Man is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.
name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	The Green Man is a coffee shop near All Bar One. It has a customer rating of 3 out of 5.
name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]	The Green Man is a pub near All Bar One with a customer rating of 1 out of 5.
name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]	The Green Man is a pub near All Bar One with a customer rating of 3 out of 5.
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Near the Express by Holiday Inn in the riverside area is a family friendly Italian pub called Green Man.
name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly Italian pub near Raja Indian Cuisine in the riverside area.
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	The Green Man is a pub located in the city centre near Express by Holiday Inn. It serves Japanese food and is not family-friendly.
name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family-friendly pub serving Japanese food. It is located in the city centre near Express by Holiday Inn.
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	The Green Man is a pub serving Japanese food. It is located in the riverside area near the Express by Holiday Inn and is not family-friendly.
name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly Japanese pub near the Express by Holiday Inn in the riverside area.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	Green Man is a family friendly Italian restaurant near the Express by Holiday Inn in the riverside area.
name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Green Man is a family friendly Italian restaurant in the riverside area near Raja Indian Cuisine.
name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	The Green Man is a Japanese restaurant located in the city centre near Express by Holiday Inn. It is not family-friendly.
