"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue spice is a coffee shop in the city centre with a coffee shop.
"name[Blue Spice], eatType[coffee shop], area[riverside]"	Blue spice is a coffee shop located in the riverside area.
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue spice is a coffee shop with a customer rating of 5 out of 5 and is near the crowne plaza hotel.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Blue spice is a coffee shop with an average customer rating and is located near burger king.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	Blue spice is a coffee shop with an average customer rating. it is located near the crowne plaza hotel.
"name[Blue Spice], eatType[pub], area[city centre]"	Blue spice is a pub in city centre.
"name[Blue Spice], eatType[pub], area[riverside]"	Blue spice is a pub located in the riverside area.
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue spice is a pub near the crowne plaza hotel with a 5 out of 5 customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Blue spice is a pub near burger king with an average rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	Blue spice is a pub near the crowne plaza hotel. it has an average customer rating.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub located in the city centre near rainbow vegetarian café. it serves chinese food and is not family-friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a pub that serves chinese food. it is located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub near rainbow vegetarian café in the riverside area. it serves chinese food and is not family friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a pub that serves chinese food. it is located near rainbow vegetarian café in the riverside area.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub near rainbow vegetarian café in the city centre that serves english food and is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family-friendly english pub located near rainbow vegetarian café in the city centre.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub near rainbow vegetarian café in the riverside area. it serves english food and is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly pub near rainbow vegetarian café in the riverside area.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant located in the city centre near the rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly chinese restaurant located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant near rainbow vegetarian café in the riverside area.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant located in the riverside area near rainbow vegetarian café.
