MR	output
name[Blue Spice], eatType[coffee shop], area[city centre]	Blue Spice is a coffee shop located in the city centre.
name[Blue Spice], eatType[coffee shop], area[riverside]	Blue Spice is a coffee shop in the riverside area.
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is a coffee shop near Burger King with an average customer rating.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a coffee shop near Crowne Plaza Hotel with an average customer rating.
name[Blue Spice], eatType[pub], area[city centre]	Blue Spice pub located in the city centre.
name[Blue Spice], eatType[pub], area[riverside]	Blue Spice pub located in the riverside area.
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice pub near Burger King with an average customer rating.
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice pub near Crowne Plaza Hotel with an average customer rating.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub located in the city centre near Rainbow Vegetarian Café it is not family-friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub serving Chinese food in the city centre near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub located in riverside near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub serving Chinese food in riverside near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an English pub located in the city centre near Rainbow Vegetarian Café it is not family-friendly.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly pub serving English food near Rainbow Vegetarian Café in the city centre.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an English pub located in riverside near Rainbow Vegetarian Café it is not family-friendly.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub serving English food it is located near Rainbow Vegetarian Café in riverside.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant in the city centre near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly restaurant Chinese food near Rainbow Vegetarian Café in the city centre.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant in riverside near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly restaurant Chinese located near Rainbow Vegetarian Café in riverside.
