name[Blue Spice], eatType[coffee shop], area[city centre]	Blue Spice is a coffee shop in the city centre.
name[Blue Spice], eatType[coffee shop], area[riverside]	Blue Spice is a coffee shop in the riverside area.
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a coffee shop near Crowne Plaza Hotel it has a customer rating of 5 out of 5.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is a coffee shop near Burger King it has an average customer rating.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a coffee shop near Crowne Plaza Hotel it has an average customer rating.
name[Blue Spice], eatType[pub], area[city centre]	Blue Spice is a pub located in the city centre.
name[Blue Spice], eatType[pub], area[riverside]	Blue Spice is a pub located in the riverside area.
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel it has a customer rating of 5 out of 5.
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice is a pub near Burger King it has an average customer rating.
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel it has an average customer rating.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub that serves Chinese food in the city centre near Rainbow Vegetarian Café it is not family-friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub in the city centre near Rainbow Vegetarian Café it is family friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub that serves Chinese food in the riverside area near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub serving Chinese food it is located in the riverside area near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub that serves English food in the city centre near Rainbow Vegetarian Café it is not family-friendly.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly pub serving English food in the city centre near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub that serves English food in the riverside area near Rainbow Vegetarian Café it is not family-friendly.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub serving English food in the riverside area near Rainbow Vegetarian Café.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant in the city centre near Rainbow Vegetarian Café it is not family-friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant in the city centre near Rainbow Vegetarian Café it is family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a restaurant that serves Chinese food in the riverside area near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant near Rainbow Vegetarian Café in the riverside area it is family friendly.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a restaurant that serves English food in the city centre near Rainbow Vegetarian Café it is not family-friendly.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly restaurant serving English food it is located in the city centre near Rainbow Vegetarian Café.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a restaurant near Rainbow Vegetarian Café in the riverside area it serves English food and is not family-friendly.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly restaurant serving English food in the riverside area near Rainbow Vegetarian Café.
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Clowns is a coffee shop near All Bar One it has a customer rating of 3 out of 5.
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a coffee shop near Crowne Plaza Hotel it has a customer rating of 5 out of 5.
name[Clowns], eatType[coffee shop], near[The Sorrento]	Clowns is a coffee shop near The Sorrento.
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Clowns is a pub near All Bar One it has a customer rating of 3 out of 5.
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a pub near Crowne Plaza Hotel it has a customer rating of 5 out of 5.
name[Clowns], eatType[pub], near[The Sorrento]	Clowns is a pub near The Sorrento.
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	Cocum is a coffee shop near Burger King it has a high customer rating.
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	Cocum is a coffee shop near Café Sicilia it has a high customer rating.
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	Cocum is a coffee shop near Café Sicilia it has a low customer rating.
name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Cocum is a coffee shop near Express by Holiday Inn it has a low customer rating.
name[Cocum], eatType[coffee shop], near[The Rice Boat]	Cocum is a coffee shop near The Rice Boat.
name[Cocum], eatType[coffee shop], near[The Sorrento]	Cocum is a coffee shop near The Sorrento.
name[Cocum], eatType[pub], customer rating[high], near[Burger King]	Cocum is a pub near Burger King it has a high customer rating.
name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]	Cocum is a pub near Café Sicilia it has a high customer rating.
name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]	Cocum is a pub near Café Sicilia it has a low customer rating.
name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Cocum is a pub near Express by Holiday Inn it has a low customer rating.
name[Cocum], eatType[pub], near[The Rice Boat]	Cocum is a pub near The Rice Boat.
name[Cocum], eatType[pub], near[The Sorrento]	Cocum is a pub near The Sorrento.
name[Cotto], eatType[coffee shop], near[The Bakers]	Cotto is a coffee shop near The Bakers.
name[Cotto], eatType[pub], near[The Bakers]	Cotto is a pub near The Bakers.
name[Giraffe], eatType[coffee shop], near[The Bakers]	Giraffe is a coffee shop near The Bakers.
name[Giraffe], eatType[coffee shop], near[The Rice Boat]	Giraffe is a coffee shop near The Rice Boat.
name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly pub serving English food in the riverside area near Rainbow Vegetarian Café.
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a pub that serves Fast food it is located in the city centre near Rainbow Vegetarian Café it is not family-friendly.
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly pub serving Fast food in the city centre near Rainbow Vegetarian Café.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a pub that serves Fast food it is located in the riverside area near Rainbow Vegetarian Café it is not family-friendly.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly pub serving Fast food it is located in the riverside area near Rainbow Vegetarian Café.
