MR	output
"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue Spice is a coffee shop in the city centre.
"name[Blue Spice], eatType[coffee shop], area[riverside]"	Blue Spice is a coffee shop in the riverside area with a price range of less than £20.
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue Spice is a coffee shop near Crowne Plaza Hotel with a 5 out of 5 customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Blue Spice is a coffee shop near Burger King. It has an average customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	Blue Spice is a coffee shop near Crowne Plaza Hotel. It has an average customer rating.
"name[Blue Spice], eatType[pub], area[city centre]"	Blue Spice is a pub located in the city centre.
"name[Blue Spice], eatType[pub], area[riverside]"	Blue Spice is a pub by the riverside.
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue Spice is a pub near Crowne Plaza Hotel with a 5 out of 5 customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Blue Spice is a pub near Burger King with an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a chinese pub located in the city centre near Rainbow Vegetarian Café. It is not family friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly chinese pub located in the city centre near Rainbow Vegetarian Café.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a chinese pub near Rainbow Vegetarian Café in the riverside area. It is not family friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly chinese pub near Rainbow Vegetarian Café in the riverside area.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a pub serving english food near Rainbow Vegetarian Café in the city centre. It is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family-friendly pub serving english food in the city centre near Rainbow Vegetarian Café.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is an english pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly english pub near Rainbow Vegetarian Café in the riverside area.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a chinese restaurant near Rainbow Vegetarian Café in the city centre. It is not family friendly.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly chinese restaurant located in the city centre near Rainbow Vegetarian Café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a chinese restaurant near Rainbow Vegetarian Café in the riverside area. It is not family friendly.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly chinese restaurant in the riverside area near Rainbow Vegetarian Café.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a non family-friendly english restaurant near Rainbow Vegetarian Café in the city centre.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family-friendly english restaurant located in the city centre near Rainbow Vegetarian Café.
