'name[Blue Spice], eatType[coffee shop], area[city centre]'	'Blue Spice is in city centre and it is a coffee shop.'
'name[Blue Spice], eatType[coffee shop], area[riverside]'	'Blue Spice is in riverside and it is a coffee shop.'
'name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Blue Spice is near Crowne Plaza Hotel with a 5 out of 5 rating and it is a coffee shop.'
'name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]'	'Blue Spice is near Burger King with an average rating and it is a coffee shop.'
'name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]'	'Blue Spice is near Crowne Plaza Hotel with an average rating and it is a coffee shop.'
'name[Blue Spice], eatType[pub], area[city centre]'	'Blue Spice is in city centre and it is a pub.'
'name[Blue Spice], eatType[pub], area[riverside]'	'Blue Spice is in riverside and it is a pub.'
'name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Blue Spice is near Crowne Plaza Hotel with a 5 out of 5 rating and it is a pub.'
'name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]'	'Blue Spice is near Burger King with an average rating and it is a pub.'
'name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]'	'Blue Spice is near Crowne Plaza Hotel with an average rating and it is a pub.'
'name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a pub, it is in city centre near Rainbow Vegetarian Café, it is a chinese restaurant and it is n 't kid friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a pub, it is in city centre near Rainbow Vegetarian Café and it is a chinese restaurant and family friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is in riverside near Rainbow Vegetarian Café, it is a pub, it is a chinese restaurant and it is n 't kid friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a pub, it is in riverside near Rainbow Vegetarian Café and it is a chinese restaurant and family friendly.'
'name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is n 't kid friendly, it 's near Rainbow Vegetarian Café in city centre, it is an english restaurant and it is a pub.'
'name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is in city centre near Rainbow Vegetarian Café, it is an english restaurant and family friendly and it is a pub.'
'name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a pub, it is near Rainbow Vegetarian Café in riverside, it is an english restaurant and it is n 't kid friendly.'
'name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is in riverside near Rainbow Vegetarian Café, it is an english restaurant and family friendly and it is a pub.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is near Rainbow Vegetarian Café in city centre, it is a chinese restaurant and it is n 't family friendly.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is near Rainbow Vegetarian Café in city centre, it is a chinese restaurant and it is kid friendly.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is near Rainbow Vegetarian Café in riverside, it is a chinese restaurant and it is n 't kid friendly.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is near Rainbow Vegetarian Café in riverside, it is a chinese restaurant and it is kid friendly.'
'name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is near Rainbow Vegetarian Café in city centre, it is an english restaurant and it is n 't family friendly.'
'name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is in city centre near Rainbow Vegetarian Café, it is an english restaurant and family friendly and it is a restaurant.'
'name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is near Rainbow Vegetarian Café in riverside, it is an english restaurant and it is n 't kid friendly.'
'name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is an english restaurant and kid friendly, it is in riverside near Rainbow Vegetarian Café and it is a restaurant.'
'name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]'	'Clowns is near All Bar One with a 3 out of 5 rating and it is a coffee shop.'
'name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Clowns is near Crowne Plaza Hotel with a 5 out of 5 rating and it is a coffee shop.'
'name[Clowns], eatType[coffee shop], near[The Sorrento]'	'Well, Clowns is near The Sorrento, it is a coffee shop.'
'name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]'	'Clowns is near All Bar One with a 3 out of 5 rating and it is a pub.'
