src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Blue Spice], eatType[coffee shop], area[city centre]	Blue Spice is a coffee shop in the city centre.	0.9672	0.9710	4.5424	0.5519	0.9564	7.2554
name[Blue Spice], eatType[coffee shop], area[riverside]	In the riverside area is a coffee shop called Blue Spice.	0.6360	0.6787	4.6368	0.4989	0.7765	4.3923
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a highly rated coffee shop near Crowne Plaza Hotel.	0.2404	0.2728	1.5008	0.3340	0.5148	1.4256
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is a coffee shop with an average customer rating. It is located near Burger King.	0.5632	0.5928	5.3048	0.4714	0.5121	3.3394
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a coffee shop with an average customer rating. It is located near Crowne Plaza Hotel.	0.3226	0.3703	2.8612	0.4553	0.4756	3.6672
name[Blue Spice], eatType[pub], area[city centre]	In the city centre, Blue Spice is a pub.	0.6034	0.6493	3.5129	0.5027	0.6414	4.0776
name[Blue Spice], eatType[pub], area[riverside]	Blue Spice is a pub by the riverside.	0.0000	0.2927	2.2537	0.3816	0.5446	2.7822
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.6172	0.6379	4.3187	0.5341	0.8616	4.0870
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice is a pub near Burger King with an average customer rating.	0.5299	0.5706	4.6603	0.4521	0.5151	3.0926
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.	0.3735	0.4267	3.4063	0.4725	0.5483	3.5541
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese pub near Rainbow Vegetarian Café in the city centre. It is not family friendly.	0.7918	0.8028	3.8417	0.4487	0.6783	1.3285
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese pub located in the city centre near Rainbow Vegetarian Café.	0.6013	0.6115	3.9878	0.4427	0.7789	2.7491
