MR	output
"name[Blue Spice], eatType[coffee shop], area[city centre]"	"Blue Spice is a coffee shop located in the city centre area."
"name[Blue Spice], eatType[coffee shop], area[riverside]"	"Blue Spice is a coffee shop located in the riverside area."
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Blue Spice is a coffee shop located near Crowne Plaza Hotel. It has a customer rating of 5 out of 5."
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	"Blue Spice is a coffee shop located near Burger King. It has an average customer rating."
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	"Blue Spice is a coffee shop located near Crowne Plaza Hotel. It has an average customer rating."
"name[Blue Spice], eatType[pub], area[city centre]"	"Blue Spice is a pub located in the city centre area."
"name[Blue Spice], eatType[pub], area[riverside]"	"Blue Spice is a pub located in the riverside area."
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Blue Spice is a pub located near Crowne Plaza Hotel. It has a customer rating of 5 out of 5."
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	"Blue Spice is a pub located near Burger King. It has an average customer rating."
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	"Blue Spice is a pub located near Crowne Plaza Hotel. It has an average customer rating."
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a pub which serves Chinese food. It is located in the city centre area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a family-friendly pub which serves Chinese food. It is located in the city centre area, near Rainbow Vegetarian Café."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a pub which serves Chinese food. It is located in the riverside area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a family-friendly pub which serves Chinese food. It is located in the riverside area, near Rainbow Vegetarian Café."
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a pub which serves English food. It is located in the city centre area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a family-friendly pub which serves English food. It is located in the city centre area, near Rainbow Vegetarian Café."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a pub which serves English food. It is located in the riverside area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a family-friendly pub which serves English food. It is located in the riverside area, near Rainbow Vegetarian Café."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a restaurant which serves Chinese food. It is located in the city centre area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a family-friendly restaurant which serves Chinese food. It is located in the city centre area, near Rainbow Vegetarian Café."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a restaurant which serves Chinese food. It is located in the riverside area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a family-friendly restaurant which serves Chinese food. It is located in the riverside area, near Rainbow Vegetarian Café."
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a restaurant which serves English food. It is located in the city centre area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a family-friendly restaurant which serves English food. It is located in the city centre area, near Rainbow Vegetarian Café."
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a restaurant which serves English food. It is located in the riverside area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a family-friendly restaurant which serves English food. It is located in the riverside area, near Rainbow Vegetarian Café."
"name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	"Clowns is a coffee shop located near All Bar One. It has a customer rating of 3 out of 5."
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Clowns is a coffee shop located near Crowne Plaza Hotel. It has a customer rating of 5 out of 5."
"name[Clowns], eatType[coffee shop], near[The Sorrento]"	"Clowns is a coffee shop located near The Sorrento."
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	"Clowns is a pub located near All Bar One. It has a customer rating of 3 out of 5."
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Clowns is a pub located near Crowne Plaza Hotel. It has a customer rating of 5 out of 5."
"name[Clowns], eatType[pub], near[The Sorrento]"	"Clowns is a pub located near The Sorrento."
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]"	"Cocum is a coffee shop located near Burger King. It has a high customer rating."
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]"	"Cocum is a coffee shop located near Café Sicilia. It has a high customer rating."
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]"	"Cocum is a coffee shop located near Café Sicilia. It has a low customer rating."
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	"Cocum is a coffee shop located near Express by Holiday Inn. It has a low customer rating."
"name[Cocum], eatType[coffee shop], near[The Rice Boat]"	"Cocum is a coffee shop located near The Rice Boat."
"name[Cocum], eatType[coffee shop], near[The Sorrento]"	"Cocum is a coffee shop located near The Sorrento."
"name[Cocum], eatType[pub], customer rating[high], near[Burger King]"	"Cocum is a pub located near Burger King. It has a high customer rating."
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]"	"Cocum is a pub located near Café Sicilia. It has a high customer rating."
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]"	"Cocum is a pub located near Café Sicilia. It has a low customer rating."
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	"Cocum is a pub located near Express by Holiday Inn. It has a low customer rating."
"name[Cocum], eatType[pub], near[The Rice Boat]"	"Cocum is a pub located near The Rice Boat."
"name[Cocum], eatType[pub], near[The Sorrento]"	"Cocum is a pub located near The Sorrento."
"name[Cotto], eatType[coffee shop], near[The Bakers]"	"Cotto is a coffee shop located near The Bakers."
"name[Cotto], eatType[pub], near[The Bakers]"	"Cotto is a pub located near The Bakers."
"name[Giraffe], eatType[coffee shop], near[The Bakers]"	"Giraffe is a coffee shop located near The Bakers."
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]"	"Giraffe is a coffee shop located near The Rice Boat."
"name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a family-friendly pub which serves English food. It is located in the riverside area, near Rainbow Vegetarian Café."
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Giraffe is a pub which serves fast food. It is located in the city centre area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a family-friendly pub which serves fast food. It is located in the city centre area, near Rainbow Vegetarian Café."
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Giraffe is a pub which serves fast food. It is located in the riverside area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a family-friendly pub which serves fast food. It is located in the riverside area, near Rainbow Vegetarian Café."
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a family-friendly pub which serves fast food. It is located in the riverside area, near Raja Indian Cuisine."
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	"Giraffe is a pub which serves French food. It is located in the city centre area, near Raja Indian Cuisine. It is not family friendly."
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a family-friendly pub which serves French food. It is located in the city centre area, near Raja Indian Cuisine."
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	"Giraffe is a pub which serves French food. It is located in the riverside area, near Raja Indian Cuisine. It is not family friendly."
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a family-friendly pub which serves French food. It is located in the riverside area, near Raja Indian Cuisine."
"name[Giraffe], eatType[pub], near[The Bakers]"	"Giraffe is a pub located near The Bakers."
"name[Giraffe], eatType[pub], near[The Rice Boat]"	"Giraffe is a pub located near The Rice Boat."
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a family-friendly restaurant which serves English food. It is located in the riverside area, near Rainbow Vegetarian Café."
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Giraffe is a restaurant which serves fast food. It is located in the city centre area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a family-friendly restaurant which serves fast food. It is located in the city centre area, near Rainbow Vegetarian Café."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Giraffe is a restaurant which serves fast food. It is located in the riverside area, near Rainbow Vegetarian Café. It is not family friendly."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a family-friendly restaurant which serves fast food. It is located in the riverside area, near Rainbow Vegetarian Café."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a family-friendly restaurant which serves fast food. It is located in the riverside area, near Raja Indian Cuisine."
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	"Giraffe is a restaurant which serves French food. It is located in the city centre area, near Raja Indian Cuisine. It is not family friendly."
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a family-friendly restaurant which serves French food. It is located in the city centre area, near Raja Indian Cuisine."
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	"Giraffe is a restaurant which serves French food. It is located in the riverside area, near Raja Indian Cuisine. It is not family friendly."
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a family-friendly restaurant which serves French food. It is located in the riverside area, near Raja Indian Cuisine."
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	"Green Man is a coffee shop located near All Bar One. It has a customer rating of 1 out of 5."
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	"Green Man is a coffee shop located near All Bar One. It has a customer rating of 3 out of 5."
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	"Green Man is a pub located near All Bar One. It has a customer rating of 1 out of 5."
"name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	"Green Man is a pub located near All Bar One. It has a customer rating of 3 out of 5."
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	"Green Man is a family-friendly pub which serves Italian food. It is located in the riverside area, near Express by Holiday Inn."
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Green Man is a family-friendly pub which serves Italian food. It is located in the riverside area, near Raja Indian Cuisine."
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	"Green Man is a pub which serves Japanese food. It is located in the city centre area, near Express by Holiday Inn. It is not family friendly."
