"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue spice is a coffee shop in the city centre.
"name[Blue Spice], eatType[coffee shop], area[riverside]"	Blue spice is a coffee shop in the riverside area.
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue spice is a highly rated coffee shop near crowne plaza hotel.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Blue spice is a coffee shop near burger king with an average customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	Blue spice is a coffee shop near crowne plaza hotel with an average customer rating.
"name[Blue Spice], eatType[pub], area[city centre]"	Blue spice is a pub in the city centre.
"name[Blue Spice], eatType[pub], area[riverside]"	Blue spice is a pub in the riverside area.
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue spice is a pub near crowne plaza hotel with a customer rating of 5 out of 5.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Blue spice is a pub near burger king with an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	Blue spice is a pub near crowne plaza hotel with an average customer rating.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub located near rainbow vegetarian café in the city centre. it serves chinese food and is not family friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly chinese pub in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub that provides chinese food it is located in the riverside. it is near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a pub that provides chinese food it is located in the riverside. it is near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub located near rainbow vegetarian café in the city centre. it serves english food and is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family-friendly pub serving english food. it is located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is an english pub near rainbow vegetarian café. it is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly pub located near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant located in the city centre near rainbow vegetarian café. it is not family friendly.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly chinese restaurant located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant located in the riverside area near rainbow vegetarian café. it is not family friendly.
