"name[Blue Spice], eatType[coffee shop], area[city centre]"	The Blue Spice is a coffee shop in the city centre that is not family-friendly.
"name[Blue Spice], eatType[coffee shop], area[riverside]"	For a cheap restaurant in the riverside area then to to Blue Spice.
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	A coffee shop near Crowne Plaza Hotel is Blue Spice. It has a customer rating of 5 out of 5.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	A coffee shop near Burger King is Blue Spice. It has an average customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	"Located near Crowne Plaza Hotel, Blue Spice is a coffee shop with an average customer rating."
"name[Blue Spice], eatType[pub], area[city centre]"	If you are looking for a pub called Blue Spice in the city centre.
"name[Blue Spice], eatType[pub], area[riverside]"	A pub named Blue Spice is located in the riverside area.
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	The Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Near Burger King is a pub called Blue Spice. It has an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	The Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Near Rainbow Vegetarian Café in the city centre is a pub called Blue Spice. It serves Chinese food and is not family-friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	If you are looking for a family-friendly pub that serves Chinese food in the city centre near Rainbow Vegetarian Café is Blue Spice.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	There is a pub called Blue Spice that serves Chinese food in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	There is a pub called Blue Spice that serves Chinese food in the riverside area near Rainbow Vegetarian Café. It is family friendly.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Located in the city centre near Rainbow Vegetarian Café, Blue Spice is a pub that serves English food. It is not family-friendly."
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	If you are looking for a family-friendly pub that serves English food in the city centre near Rainbow Vegetarian Café is Blue Spice.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Near Rainbow Vegetarian Café in the riverside area is a pub called Blue Spice. It serves English food and is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	If you are looking for a family friendly pub that serves English food in the riverside area near Rainbow Vegetarian Café is Blue Spice.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a restaurant that serves Chinese food. It is located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	If you are looking for a family-friendly restaurant that serves Chinese food in the city centre near Rainbow Vegetarian Café is Blue Spice.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a restaurant that serves Chinese food in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	There is a restaurant called Blue Spice that serves Chinese food and is located in the riverside area near Rainbow Vegetarian Café.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	An English restaurant near Rainbow Vegetarian Café in the city centre is Blue Spice. It is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	In the city centre near Rainbow Vegetarian Café is a family friendly restaurant called Blue Spice.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a restaurant that serves English food in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a restaurant that serves English food in the riverside area near Rainbow Vegetarian Café. It is family friendly.
