MR	output
"name[Blue Spice], eatType[coffee shop], area[city centre]"	"Located in the city centre, Blue Spice is a coffee shop with a moderate price range."
"name[Blue Spice], eatType[coffee shop], area[riverside]"	"By the riverside, there is a coffee shop called Blue Spice."
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Located near Crowne Plaza Hotel, Blue Spice is a coffee shop with a 5 out of 5 customer rating."
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	"Located near Burger King, Blue Spice is a coffee shop with an average customer rating."
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	"Located near Crowne Plaza Hotel, Blue Spice is a coffee shop with an average customer rating."
"name[Blue Spice], eatType[pub], area[city centre]"	"In the city centre, there is a pub called Blue Spice."
"name[Blue Spice], eatType[pub], area[riverside]"	"By the riverside, there is a pub called Blue Spice."
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Near Crowne Plaza Hotel, Blue Spice is a pub with a customer rating of 5 out of 5."
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	"Located near Burger King, Blue Spice is a pub with an average customer rating."
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	"Located near Crowne Plaza Hotel, Blue Spice is a pub with an average customer rating."
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	In the city centre near Rainbow Vegetarian Café is a Chinese pub called the Blue Spice. It is not family-friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family-friendly pub serving Chinese food in the city centre near Rainbow Vegetarian Café
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a pub that offers Chinese food, it is located in the riverside near Rainbow Vegetarian Café and is not family friendly."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a pub that serves Chinese food, is kid friendly, and is near Rainbow Vegetarian Café in the riverside area."
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Located in the city centre near the Rainbow Vegetarian Café, Blue Spice is an English pub that is not family-friendly."
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family-friendly pub serving English food in the city centre near Rainbow Vegetarian Café
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a pub that serves English food and is located in the riverside area near Rainbow Vegetarian Café and is not family friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly pub located in riverside near Rainbow Vegetarian Café
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"In the city centre near Rainbow Vegetarian Café, there is a Chinese restaurant called Blue Spice. It is not family friendly."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Near Rainbow Vegetarian Café in the city centre, Blue Spice is a family-friendly Chinese restaurant."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice, located near Rainbow Vegetarian Café in riverside, is a Chinese restaurant that is not family friendly."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	A family friendly Chinese restaurant in the riverside area near the Rainbow Vegetarian Café is Blue Spice.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Located in the city centre near Rainbow Vegetarian Café, Blue Spice is an English restaurant that is not family-friendly."
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Located in the city centre near Rainbow Vegetarian Café, Blue Spice is a family-friendly family friendly English restaurant."
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"In the riverside area, near Rainbow Vegetarian Café, Blue Spice is an English restaurant that is not family friendly."
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice, located near Rainbow Vegetarian Café in the riverside area, is a family friendly pub that serves English food."
"name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	"Located near All Bar One, Clowns is a coffee shop with a customer rating of 3 out of 5."
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Located near Crowne Plaza Hotel, Clowns is a coffee shop with a 5 out of 5 customer rating."
"name[Clowns], eatType[coffee shop], near[The Sorrento]"	Clowns is a coffee shop and is located near The Sorrento
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	"With a customer rating of 3 out of 5, the Clowns pub is near the All Bar One"
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Near Crowne Plaza Hotel, Clowns is a pub with a customer rating of 5 out of 5."
"name[Clowns], eatType[pub], near[The Sorrento]"	"Near The Sorrento, there is a pub called Clowns."
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]"	"Near Burger King is Cocum, a highly rated coffee shop"
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]"	"Near Café Sicilia is Cocum, a highly rated coffee shop"
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]"	"Located near Café Sicilia, Cocum is a coffee shop with a low customer rating."
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	"Located near Express by Holiday Inn, Cocum is a coffee shop with a low customer rating."
"name[Cocum], eatType[coffee shop], near[The Rice Boat]"	Cocum is a coffee shop and is located near The Rice Boat
"name[Cocum], eatType[coffee shop], near[The Sorrento]"	Cocum is a coffee shop and is located near The Sorrento
"name[Cocum], eatType[pub], customer rating[high], near[Burger King]"	"Located near Burger King, Cocum is a pub with a high customer rating."
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]"	"Located near Café Sicilia, Cocum is a pub with a high customer rating."
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]"	"Located near Café Sicilia, Cocum is a pub with a low customer rating."
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	"With a low customer rating, Cocum is a pub near the Express by Holiday Inn."
"name[Cocum], eatType[pub], near[The Rice Boat]"	"Near The Rice Boat, there is a pub called Cocum."
"name[Cocum], eatType[pub], near[The Sorrento]"	"Near The Sorrento, there is a pub called Cocum."
"name[Cotto], eatType[coffee shop], near[The Bakers]"	Cotto is a coffee shop and is located near The Bakers
"name[Cotto], eatType[pub], near[The Bakers]"	"Near The Bakers, there is a pub called Cotto."
"name[Giraffe], eatType[coffee shop], near[The Bakers]"	Giraffe is a coffee shop and is located near The Bakers
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]"	Giraffe is a coffee shop and is located near The Rice Boat
"name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly pub located in riverside near Rainbow Vegetarian Café
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"In the city centre near Rainbow Vegetarian Café, there is a Fast food pub called Giraffe. It is not family-friendly."
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Near Rainbow Vegetarian Café, in the city centre, Giraffe is a family-friendly pub serving Fast food."
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Near the Rainbow Vegetarian Café in the riverside area is a Fast food pub called Giraffe. It is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a family friendly, Fast food pub, near Rainbow Vegetarian Café, in the riverside area."
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a family friendly, Fast food pub, near Raja Indian Cuisine, in the riverside area."
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	In the city centre near Raja Indian Cuisine is a French pub called the Giraffe. It is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly pub serving French food in the city centre near Raja Indian Cuisine
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	"Giraffe is a pub that offers French food, it is located in the riverside near Raja Indian Cuisine and is not family friendly."
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a pub that serves French food, is kid friendly, and is near Raja Indian Cuisine in the riverside area."
"name[Giraffe], eatType[pub], near[The Bakers]"	"Near The Bakers, there is a pub called Giraffe."
"name[Giraffe], eatType[pub], near[The Rice Boat]"	"Near The Rice Boat, there is a pub called Giraffe."
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe, located near Rainbow Vegetarian Café in the riverside area, is a family friendly pub that serves English food."
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Located near Rainbow Vegetarian Café in the city centre, Giraffe is a non family-friendly Fast food restaurant."
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Near Rainbow Vegetarian Café in the city centre, Giraffe is a family-friendly Fast food restaurant."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Giraffe, near Rainbow Vegetarian Café in the riverside area, is a Fast food restaurant that is not family-friendly."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe, located near Rainbow Vegetarian Café in the riverside area, is a family friendly Fast food restaurant."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe, located near Raja Indian Cuisine in the riverside area, is a family friendly Fast food restaurant."
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	"In the city centre near Raja Indian Cuisine, there is a French restaurant called Giraffe. It is not family friendly."
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	"Near Raja Indian Cuisine in the city centre, Giraffe is a family-friendly French restaurant."
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	"Giraffe, located near Raja Indian Cuisine in riverside, is a French restaurant that is not family friendly."
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	A family friendly French restaurant in the riverside area near the Raja Indian Cuisine is Giraffe.
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	"Located near All Bar One, Green Man is a coffee shop with a customer rating of 1 out of 5."
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	"Located near All Bar One, Green Man is a coffee shop with a customer rating of 3 out of 5."
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	"Located near All Bar One, Green Man is a pub with a customer rating of 1 out of 5."
"name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	"With a customer rating of 3 out of 5, the Green Man pub is near the All Bar One"
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Near the Express by Holiday Inn in the riverside area is a family friendly pub called Green Man that serves Italian food
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green Man is a family friendly pub located in riverside near Raja Indian Cuisine
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	"The Japanese pub, Green Man, is located in the city centre near Express by Holiday Inn and is not family-friendly."
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	"Located in the city centre near the Express by Holiday Inn, Green Man is a family-friendly Japanese pub."
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	"Green Man is a pub in the riverside area, near the Express by Holiday Inn. It serves Japanese food, but is not family friendly."
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	A family friendly Japanese pub in the riverside area near the Express by Holiday Inn is Green Man.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	"Green Man, near Express by Holiday Inn in the riverside area, is a family friendly Italian restaurant."
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Green Man, located near Raja Indian Cuisine in the riverside area, is a family friendly pub that serves Italian food."
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	"Located in the city centre near Express by Holiday Inn, Green Man is a non family-friendly Japanese restaurant."
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	"Near Express by Holiday Inn in the city centre, Green Man is a family-friendly Japanese restaurant."
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	"Located near Express by Holiday Inn in the riverside area, Green Man is a Japanese restaurant that is not kid friendly."
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	"Green Man is a Japanese restaurant in the riverside area, near Express by Holiday Inn."
"name[Loch Fyne], eatType[coffee shop], area[riverside]"	"By the riverside, there is a coffee shop called Loch Fyne."
"name[Loch Fyne], eatType[pub], area[riverside]"	"By the riverside, there is a pub called Loch Fyne."
"name[Strada], eatType[coffee shop], area[city centre]"	"Located in the city centre, Strada is a coffee shop with a moderate price range."
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	"Located near All Bar One, Strada is a coffee shop with a customer rating of 1 out of 5."
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	"Near Rainbow Vegetarian Café, Strada is a coffee shop with a customer rating of 1 out of 5."
"name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	"Located near Express by Holiday Inn, Strada is a coffee shop with a low customer rating."
"name[Strada], eatType[pub], area[city centre]"	"In the city centre, there is a pub called Strada."
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	"Located near All Bar One, Strada is a pub with a customer rating of 1 out of 5."
"name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	"Located near Rainbow Vegetarian Café, Strada is a pub with a customer rating of 1 out of 5."
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	"With a low customer rating, Strada is a pub near the Express by Holiday Inn."
"name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	"Located near Avalon, The Cricketers is a kid friendly coffee shop with a customer rating of 1 out of 5."
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	"Located near the Avalon, The Cricketers is a kid friendly coffee shop with a customer rating of 3 out of 5."
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Cricketers is a kid friendly coffee shop near Crowne Plaza Hotel with a customer rating of 3 out of 5.
