"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue spice is a coffee shop in city centre.
"name[Blue Spice], eatType[coffee shop], area[riverside]"	Blue spice is a coffee shop on the riverside.
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue spice is a coffee shop near crowne plaza hotel with a customer rating of 5 out of 5.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Blue spice is an average rated coffee shop near burger king.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	Blue spice is an average rated coffee shop near crowne plaza hotel.
"name[Blue Spice], eatType[pub], area[city centre]"	In the city centre there is a pub called blue spice.
"name[Blue Spice], eatType[pub], area[riverside]"	Blue spice is a pub by the riverside.
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue spice is a pub near crowne plaza hotel with a 5 out of 5 customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Blue spice is an average rated pub near burger king.
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	Blue spice is an average rated pub near crowne plaza hotel.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub that provides chinese food in the city centre. it is located near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly chinese pub located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a chinese pub located near rainbow vegetarian café in the riverside area. it is not family friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly pub serving chinese food. it is located in the riverside area near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a family-friendly pub located in the city centre near rainbow vegetarian café. it serves english food.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family-friendly pub serving english food near rainbow vegetarian café in the city centre.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is an english pub located near rainbow vegetarian café in the riverside area. it is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly pub that serves english food. it is located in the riverside area near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant located near rainbow vegetarian café in the city centre. it is not family friendly.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly chinese restaurant located in the city centre near the rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant located in the riverside area. it is near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a kid friendly chinese restaurant in the riverside area. it is near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a non family-friendly english restaurant located near rainbow vegetarian café.
