src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Blue Spice], eatType[coffee shop], area[city centre]	The city centre is a coffee shop called Blue Spice.	0.5774	0.6360	3.9433	0.4726	0.5666	4.1544
name[Blue Spice], eatType[coffee shop], area[riverside]	In the riverside area, Blue Spice is a coffee shop.	0.4877	0.5491	4.0353	0.5087	0.5367	3.6522
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	With a customer rating of 5 out of 5, Blue Spice is a coffee shop near Crowne Plaza Hotel.	0.6252	0.6468	4.6897	0.5416	0.5946	3.9669
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	With an average customer rating, Blue Spice is a coffee shop near Burger King.	0.6336	0.6627	5.7411	0.4641	0.6542	3.1684
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	With an average customer rating, Blue Spice is a coffee shop near Crowne Plaza Hotel.	0.3854	0.4379	3.3661	0.4828	0.4490	3.6067
name[Blue Spice], eatType[pub], area[city centre]	The pub in the city centre is Blue Spice.	0.5411	0.6034	3.6620	0.4342	0.7299	3.3449
name[Blue Spice], eatType[pub], area[riverside]	In the riverside area, Blue Spice is a pub.	0.3976	0.4877	3.9461	0.4962	0.4911	2.9323
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.6172	0.6379	4.3187	0.5341	0.8616	4.0870
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice is a pub near Burger King with an average customer rating.	0.5299	0.5706	4.6603	0.4521	0.5151	3.0926
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.	0.3735	0.4267	3.4063	0.4725	0.5483	3.5541
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese pub located in the city centre near Rainbow Vegetarian Café. It is not family friendly.	0.5629	0.5757	4.1143	0.4460	0.6372	1.4029
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese pub in the city centre near Rainbow Vegetarian Café.	0.5069	0.5208	3.3986	0.4039	0.7451	2.3166
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese pub near Rainbow Vegetarian Café in the riverside area. It is not family friendly.	0.5576	0.5813	4.6033	0.4107	0.7048	2.9984
