MR	output
"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue spice is a coffee shop in the city centre.
"name[Blue Spice], eatType[coffee shop], area[riverside]"	Blue spice is a coffee shop in the riverside area.
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue spice is a coffee shop near crowne plaza hotel with a customer rating of 5 out of 5.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Blue spice is a coffee shop located near burger king.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	Blue spice is a coffee shop near the crowne plaza hotel with an average customer rating.
"name[Blue Spice], eatType[pub], area[city centre]"	Blue spice is a pub in the city centre.
"name[Blue Spice], eatType[pub], area[riverside]"	Blue spice is a pub in the riverside area.
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Blue spice is a pub near the crowne plaza hotel with a customer rating of 5 out of 5.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Blue spice is a pub near burger king with an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	Blue spice is a pub near the crowne plaza hotel with an average customer rating.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub providing chinese food in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a pub located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub that serves chinese food in the riverside area near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a pub that serves chinese food and is located near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family-friendly pub located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a pub near rainbow vegetarian café in riverside. it is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly pub located near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant located in the riverside area near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a chinese restaurant in the riverside area near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a english restaurant located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family-friendly english restaurant located in the city centre near rainbow vegetarian café.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue spice is a restaurant near rainbow vegetarian café in riverside. it is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue spice is a family friendly restaurant located near rainbow vegetarian café.
"name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	Clowns is a coffee shop near all bar one with a customer rating of 3 out of 5.
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Clowns is a coffee shop located near the crowne plaza hotel.
"name[Clowns], eatType[coffee shop], near[The Sorrento]"	Clowns is a coffee shop near the sorrento.
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	Clowns is a pub near all bar one with a customer rating of 3 out of 5.
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Clowns is a pub near the crowne plaza hotel with a customer rating of 5 out of 5.
"name[Clowns], eatType[pub], near[The Sorrento]"	Clowns is a pub near the sorrento.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]"	Cocum is a coffee shop near burger king.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]"	Cocum is a coffee shop near café sicilia with a high customer rating.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]"	Cocum is a coffee shop near café sicilia with a low customer rating.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	Cocum is a coffee shop near express by holiday inn.
"name[Cocum], eatType[coffee shop], near[The Rice Boat]"	Cocum is a coffee shop near the rice boat.
"name[Cocum], eatType[coffee shop], near[The Sorrento]"	Cocum is a coffee shop near the sorrento.
"name[Cocum], eatType[pub], customer rating[high], near[Burger King]"	Cocum is a pub near burger king with a high customer rating.
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]"	Cocum is a pub near café sicilia with a high customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]"	Cocum is a pub near café sicilia with a low customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	Cocum is a pub near express by holiday inn with a low customer rating.
"name[Cocum], eatType[pub], near[The Rice Boat]"	Cocum is a pub near the rice boat.
"name[Cocum], eatType[pub], near[The Sorrento]"	Cocum is a pub near the sorrento.
"name[Cotto], eatType[coffee shop], near[The Bakers]"	Cotto is a coffee shop near the bakers.
"name[Cotto], eatType[pub], near[The Bakers]"	Cotto is a pub near the bakers.
"name[Giraffe], eatType[coffee shop], near[The Bakers]"	Giraffe is a coffee shop near the bakers.
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]"	Giraffe is a coffee shop near the rice boat.
"name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly pub near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food pub located in the city centre near rainbow vegetarian café. it is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family-friendly fast food pub in the city centre near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a pub that serves fast food. it is located near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly pub located near rainbow vegetarian café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly pub located near raja indian cuisine.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a pub located in the city centre near raja indian cuisine. it is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly pub located near raja indian cuisine in the city centre.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a pub near raja indian cuisine in the riverside area. it is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly pub located near raja indian cuisine in the riverside area.
"name[Giraffe], eatType[pub], near[The Bakers]"	Giraffe is a pub near the bakers.
"name[Giraffe], eatType[pub], near[The Rice Boat]"	Giraffe is a pub near the rice boat.
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly restaurant in the riverside area near rainbow vegetarian café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant located in the city centre near rainbow vegetarian café. it is not family-friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant located in the city centre near rainbow vegetarian café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant located in the riverside area near rainbow vegetarian café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant in the riverside area near rainbow vegetarian café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a fast food restaurant in the riverside area near raja indian cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french restaurant located in the city centre near raja indian cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a french restaurant in the city centre near raja indian cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french restaurant in the riverside area near raja indian cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a french restaurant in the riverside area near raja indian cuisine.
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	Green man is a coffee shop located near all bar one.
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	Green man is a coffee shop near all bar one with a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	Green man is a pub near all bar one with a customer rating of 1 out of 5.
"name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	Green man is a pub near all bar one with a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly pub near express by holiday inn.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green man is a family friendly pub located near raja indian cuisine in the riverside area.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	Green man is a japanese pub in the city centre near express by holiday inn. it is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family-friendly japanese pub located in the city centre near express by holiday inn.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	Green man is a pub near express by holiday inn in riverside. it serves japanese food and is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly pub located near express by holiday inn.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green man is a family friendly restaurant located near express by holiday inn.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green man is a family friendly italian restaurant in the riverside area.
