MR	output
"name[Blue Spice], eatType[coffee shop], area[city centre]"	"Blue Spice is a coffee shop in the city centre."
"name[Blue Spice], eatType[coffee shop], area[riverside]"	"Blue Spice is a coffee shop in the riverside area."
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5."
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	"Blue Spice is a coffee shop near Burger King with an average customer rating and a cheap price range."
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	"Blue Spice is a coffee shop near Crowne Plaza Hotel with an average customer rating and a cheap price range."
"name[Blue Spice], eatType[pub], area[city centre]"	"Blue Spice is a pub in the city centre."
"name[Blue Spice], eatType[pub], area[riverside]"	"Blue Spice is a pub in the riverside area."
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5."
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	"Blue Spice is a pub near Burger King with an average customer rating."
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	"Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating."
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a chinese pub in the city centre near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a chinese pub in the city centre near Rainbow Vegetarian Café. It is family friendly."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a chinese pub in the riverside area near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a chinese pub in the riverside area near Rainbow Vegetarian Café. It is family friendly."
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a english pub in the city centre near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a english pub in the city centre near Rainbow Vegetarian Café. It is family friendly."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a english pub in the riverside area near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a english pub in the riverside area near Rainbow Vegetarian Café. It is family friendly."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a chinese restaurant in the city centre near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a chinese restaurant in the city centre near Rainbow Vegetarian Café. It is family friendly."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a chinese restaurant in the riverside area near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a chinese restaurant in the riverside area near Rainbow Vegetarian Café. It is family friendly."
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a english restaurant in the city centre near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a english restaurant in the city centre near Rainbow Vegetarian Café. It is family friendly."
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Blue Spice is a english restaurant in the riverside area near Rainbow Vegetarian Café. It is not family friendly."
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Blue Spice is a english restaurant in the riverside area near Rainbow Vegetarian Café. It is family friendly."
"name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	"Clowns is a place near All Bar One with a customer rating of 3 out of 5."
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Clowns is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5."
"name[Clowns], eatType[coffee shop], near[The Sorrento]"	"Clowns is a place near The Sorrento."
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	"Clowns is a pub near All Bar One with a customer rating of 3 out of 5."
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Clowns is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5."
"name[Clowns], eatType[pub], near[The Sorrento]"	"Clowns is a pub near The Sorrento."
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]"	"Cocum is a place near Burger King with a high customer rating."
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]"	"Cocum is a place near Café Sicilia with a high customer rating."
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]"	"Cocum is a coffee shop near Café Sicilia with a low customer rating."
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	"Cocum is a coffee shop near Express by Holiday Inn with a low customer rating."
"name[Cocum], eatType[coffee shop], near[The Rice Boat]"	"Cocum is a place near The Rice Boat."
"name[Cocum], eatType[coffee shop], near[The Sorrento]"	"Cocum is a place near The Sorrento."
"name[Cocum], eatType[pub], customer rating[high], near[Burger King]"	"Cocum is a pub near Burger King with a high customer rating."
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]"	"Cocum is a pub near Café Sicilia with a high customer rating."
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]"	"Cocum is a pub near Café Sicilia with a low customer rating."
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	"Cocum is a pub near Express by Holiday Inn with a low customer rating."
"name[Cocum], eatType[pub], near[The Rice Boat]"	"Cocum is a pub near The Rice Boat."
"name[Cocum], eatType[pub], near[The Sorrento]"	"Cocum is a pub near The Sorrento."
"name[Cotto], eatType[coffee shop], near[The Bakers]"	"Cotto is a place near The Bakers."
"name[Cotto], eatType[pub], near[The Bakers]"	"Cotto is a pub near The Bakers."
"name[Giraffe], eatType[coffee shop], near[The Bakers]"	"Giraffe is a place near The Bakers."
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]"	"Giraffe is a place near The Rice Boat."
"name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a english pub in the riverside area near Rainbow Vegetarian Café. It is family friendly."
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Giraffe is a fast food pub in the city centre near Rainbow Vegetarian Café. It is not family friendly."
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a fast food pub in the city centre near Rainbow Vegetarian Café. It is family friendly."
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Giraffe is a fast food pub in the riverside area near Rainbow Vegetarian Café. It is not family friendly."
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a fast food pub in the riverside area near Rainbow Vegetarian Café. It is family friendly."
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a fast food pub in the riverside area near Raja Indian Cuisine. It is family friendly."
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	"Giraffe is a french pub in the city centre near Raja Indian Cuisine. It is not family friendly."
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a french pub in the city centre near Raja Indian Cuisine. It is family friendly."
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	"Giraffe is a french pub in the riverside area near Raja Indian Cuisine. It is not family friendly."
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a french pub in the riverside area near Raja Indian Cuisine. It is family friendly."
"name[Giraffe], eatType[pub], near[The Bakers]"	"Giraffe is a pub near The Bakers."
"name[Giraffe], eatType[pub], near[The Rice Boat]"	"Giraffe is a pub near The Rice Boat."
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a english restaurant in the riverside area near Rainbow Vegetarian Café. It is family friendly."
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Giraffe is a fast food restaurant in the city centre near Rainbow Vegetarian Café. It is not family friendly."
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a fast food restaurant in the city centre near Rainbow Vegetarian Café. It is family friendly."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Giraffe is a fast food restaurant in the riverside area near Rainbow Vegetarian Café. It is not family friendly."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a fast food restaurant in the riverside area near Rainbow Vegetarian Café. It is family friendly."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a fast food restaurant in the riverside area near Raja Indian Cuisine. It is family friendly."
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	"Giraffe is a french restaurant in the city centre near Raja Indian Cuisine. It is not family friendly."
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a french restaurant in the city centre near Raja Indian Cuisine. It is family friendly."
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	"Giraffe is a french restaurant in the riverside area near Raja Indian Cuisine. It is not family friendly."
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Giraffe is a french restaurant in the riverside area near Raja Indian Cuisine. It is family friendly."
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	"Green Man is a coffee shop near All Bar One with a customer rating of 1 out of 5."
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	"Green Man is a place near All Bar One with a customer rating of 3 out of 5."
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	"Green Man is a pub near All Bar One with a customer rating of 1 out of 5."
"name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	"Green Man is a pub near All Bar One with a customer rating of 3 out of 5."
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	"Green Man is a italian pub in the riverside area near Express by Holiday Inn. It is family friendly."
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Green Man is a italian pub in the riverside area near Raja Indian Cuisine. It is family friendly."
