name[Blue Spice], eatType[coffee shop], area[city centre]	In the city centre is a coffee shop named Blue Spice.
name[Blue Spice], eatType[coffee shop], area[riverside]	For a coffee shop in the riverside area, Blue Spice is a coffee shop.
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	For a coffee shop near Crowne Plaza Hotel is Blue Spice.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	For a coffee shop near Burger King is Blue Spice.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	For a coffee shop near Crowne Plaza Hotel is Blue Spice.
name[Blue Spice], eatType[pub], area[city centre]	In the city centre is a pub called Blue Spice.
name[Blue Spice], eatType[pub], area[riverside]	In riverside is a pub called Blue Spice.
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	For a pub near Crowne Plaza Hotel, Blue Spice is a pub.
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	For a pub near Burger King, Blue Spice is a pub.
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	For a pub near Crowne Plaza Hotel, Blue Spice is a pub.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, is a pub called Blue Spice. It serves Chinese food and is not family friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, is a family friendly pub called Blue Spice.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Near Rainbow Vegetarian Café, there is a pub called Blue Spice. It serves Chinese food and is not family friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Near Rainbow Vegetarian Café, is a pub that serves Chinese food and is family friendly.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, is a pub called Blue Spice. It serves English food and is not family-friendly.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, is a family-friendly pub serving English food.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Near the Rainbow Vegetarian Café, there is a pub called Blue Spice. It serves English food and is not family-friendly.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Near the Rainbow Vegetarian Café is a family friendly pub that serves English food.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	In the city centre near Rainbow Vegetarian Café, there is a Chinese restaurant called Blue Spice. It is not family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the city centre near Rainbow Vegetarian Café, there is a family friendly Chinese restaurant called Blue Spice.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Near Rainbow Vegetarian Café, there is a Chinese restaurant called Blue Spice. It is not family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Near the Rainbow Vegetarian Café, there is a family friendly Chinese restaurant called Blue Spice.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	In the city centre near Rainbow Vegetarian Café, there is a restaurant called Blue Spice. It serves English food and is not family-friendly.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the city centre near Rainbow Vegetarian Café is a family-friendly restaurant serving English food.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	In the riverside area near Rainbow Vegetarian Café, is a non family-friendly restaurant called Blue Spice.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the riverside area near Rainbow Vegetarian Café is a family friendly restaurant called Blue Spice.
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	For a coffee shop near All Bar One is Clowns.
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	For a coffee shop near Crowne Plaza Hotel is Clowns.
name[Clowns], eatType[coffee shop], near[The Sorrento]	For a coffee shop near The Sorrento is Clowns.
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	For a pub near All Bar One, Clowns is a pub.
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	For a pub near Crowne Plaza Hotel, Clowns is a pub.
name[Clowns], eatType[pub], near[The Sorrento]	For a pub near The Sorrento, Clowns is a pub.
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	For a coffee shop near Burger King is Cocum.
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	For a coffee shop near Café Sicilia is Cocum.
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	For a coffee shop near Café Sicilia is Cocum.
name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	For a coffee shop near Express by Holiday Inn is Cocum.
name[Cocum], eatType[coffee shop], near[The Rice Boat]	For a coffee shop near The Rice Boat is Cocum.
name[Cocum], eatType[coffee shop], near[The Sorrento]	For a coffee shop near The Sorrento is Cocum.
name[Cocum], eatType[pub], customer rating[high], near[Burger King]	For a pub near Burger King, Cocum is a pub.
name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]	For a pub near Café Sicilia, Cocum is a pub.
name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]	For a pub near Café Sicilia, Cocum is a pub.
name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]	For a pub near Express by Holiday Inn, Cocum is a pub.
name[Cocum], eatType[pub], near[The Rice Boat]	For a pub near The Rice Boat, Cocum is a pub.
name[Cocum], eatType[pub], near[The Sorrento]	For a pub near The Sorrento, Cocum is a pub.
name[Cotto], eatType[coffee shop], near[The Bakers]	For a coffee shop near The Bakers is Cotto.
name[Cotto], eatType[pub], near[The Bakers]	For a pub near The Bakers, Cotto is a pub.
name[Giraffe], eatType[coffee shop], near[The Bakers]	For a coffee shop near The Bakers is Giraffe.
name[Giraffe], eatType[coffee shop], near[The Rice Boat]	For a coffee shop near The Rice Boat is Giraffe.
name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the riverside area, near Rainbow Vegetarian Café, is a family friendly pub called Giraffe.
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, is a Fast food pub called Giraffe. It is not family-friendly.
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, is a family-friendly Fast food pub called Giraffe.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Near the Rainbow Vegetarian Café is a pub that is not family-friendly, and is a Fast food pub.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the riverside area, near Rainbow Vegetarian Café, is a family friendly pub called Giraffe.
name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine is a family friendly pub called Giraffe.
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a French pub called Giraffe. It is not family-friendly.
name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a French pub called Giraffe. It is family friendly.
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine is a pub called Giraffe. It serves French food and is not family-friendly.
name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine is a family friendly pub called Giraffe.
name[Giraffe], eatType[pub], near[The Bakers]	For a pub near The Bakers, Giraffe is a pub.
name[Giraffe], eatType[pub], near[The Rice Boat]	For a pub near The Rice Boat, Giraffe is a pub.
name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the riverside area near Rainbow Vegetarian Café is a family friendly restaurant called Giraffe.
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, there is a Fast food restaurant called Giraffe. It is not family-friendly.
name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, is a family-friendly Fast food restaurant called Giraffe.
name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Near the Rainbow Vegetarian Café is a Fast food restaurant called Giraffe. It is not family-friendly.
