'name[Blue Spice], eatType[coffee shop], area[city centre]'	'Blue Spice is a coffee shop in the city centre.'
'name[Blue Spice], eatType[coffee shop], area[riverside]'	'A coffee shop in riverside is Blue Spice.'
'name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Blue Spice is a coffee shop located near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.'
'name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]'	'Blue Spice is a coffee shop near Burger King with average customer ratings.'
'name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]'	'Blue Spice is a coffee shop near Crowne Plaza Hotel with average customer ratings.'
'name[Blue Spice], eatType[pub], area[city centre]'	'Blue Spice is a pub located in the city centre.'
'name[Blue Spice], eatType[pub], area[riverside]'	'There is a pub called Blue Spice in the riverside area.'
'name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.'
'name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]'	'Blue Spice is a pub near Burger King with an average customer rating.'
'name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]'	'Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.'
'name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese pub located in the city centre near Rainbow Vegetarian Café. It is not family friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese pub located in the city centre near Rainbow Vegetarian Café. It is family friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese pub in riverside near Rainbow Vegetarian Café. It is not family friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly pub that serves chinese food. It is located in the riverside area near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is an english pub near Rainbow Vegetarian Café in the city centre. It is not family-friendly.'
'name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family-friendly english pub near Rainbow Vegetarian Café in the city centre.'
'name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is an english pub near Rainbow Vegetarian Café in riverside. It is not family-friendly.'
'name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly english pub near Rainbow Vegetarian Café in riverside.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese restaurant near Rainbow Vegetarian Café in the city centre. It is not family friendly.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly chinese restaurant located in the city centre near the Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese restaurant in riverside near Rainbow Vegetarian Café. It is not family friendly.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice provides chinese food it is located in the riverside. It is near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a non family-friendly restaurant located in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family-friendly english restaurant near Rainbow Vegetarian Café in the city centre.'
