MR	output
"name[Blue Spice], eatType[coffee shop], area[city centre]"	"If you are looking for a coffee shop in the city centre, Blue Spice is a great place to go."
"name[Blue Spice], eatType[coffee shop], area[riverside]"	There is a coffee shop in the riverside area called Blue Spice which has a low customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"With a customer rating of 5 out of 5, Blue Spice is a coffee shop near Crowne Plaza Hotel."
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	"Situated near Burger King, Blue Spice is a coffee shop with an average customer rating."
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	Customer rating is average and it is a coffee shop near Crowne Plaza Hotel called Blue Spice.
"name[Blue Spice], eatType[pub], area[city centre]"	In the city centre is a pub called Blue Spice.
"name[Blue Spice], eatType[pub], area[riverside]"	At the riverside there is a pub called Blue Spice.
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	"Situated near Crowne Plaza Hotel, Blue Spice is a pub with a customer rating of 5 out of 5."
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	Customers rate Blue Spice as average. It is a pub near Burger King.
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	The Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a pub that serves Chinese food in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Serving Chinese food in a family-friendly pub setting, Blue Spice is located in the city centre near Rainbow Vegetarian Café."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Near Rainbow Vegetarian Café in the riverside area is a pub called Blue Spice. It serves Chinese food and is not family-friendly.
