MR	output
"name[Blue Spice], eatType[coffee shop], area[city centre]"	In the city centre there is a coffee shop called Blue Spice that sells adult only experience .
"name[Blue Spice], eatType[coffee shop], area[riverside]"	Blue Spice is a coffee shop that offers coffee . You can find it in the riverside area .
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	With a customer rating of 5 out of 5 , Blue Spice coffee shop might be near the Crowne Plaza Hotel . It might stop for a coffee shop .
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]"	Blue Spice is a coffee shop located neat Burger King .
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]"	You can find Blue Spice coffee shop near Crowne Plaza Hotel . It has an average customer rating and child are welcome .
"name[Blue Spice], eatType[pub], area[city centre]"	Blue Spice is a pub in the city center .
"name[Blue Spice], eatType[pub], area[riverside]"	The Blue Spice is a pub near the river . It is a great place to take a view .
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Near Crowne Plaza Hotel , there is a pub named Blue Spice with a 5 out of 5 customer rating .
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]"	There is a pub called Blue Spice near Burger King that has gourmet food and an average customer rating .
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]"	Blue Spice is a pub near Crowne Plaza Hotel . It has an average consumer rating .
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a pub that serves Chinese food . It is adults only and is located near Rainbow Vegetarian Café in the city centre .
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly pub serving noodle food . It is located near Rainbow Vegetarian Café .
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	In the riverside area near Rainbow Vegetarian Café is a Chinese pub called Blue Spice that is not family friendly .
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	In the riverside area near the Rainbow Vegetarian Café is a pub called Blue Spice that serves Chinese food and is kid friendly .
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is an English pub near Rainbow Vegetarian Café in the city centre . It is adult only .
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family - friendly pub providing English food . It is located in the city centre near Rainbow Vegetarian Café .
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a no family - friendly pub providing English food . It is located in riverside near Rainbow Vegetarian Café .
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	In the riverside area near the Rainbow Vegetarian Café is an English cuisine pub called Blue Spice that is for the whole family .
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a restaurant that delivers Chinese food . It is located in the city centre near Rainbow Vegetarian Café . It is not family friendly .
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	There is a restaurant called Blue Spice that provides Chinese food . It is located in the city centre near the Rainbow Vegetarian Café and is family friendly .
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a favorite favorite restaurant . Located near the Rainbow Vegetarian Café .
