_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,check1,check2,check3,check4,check5,quality1,quality2,quality3,quality4,quality5,check1_gold,check2_gold,check3_gold,check4_gold,check5_gold,dupl_ref1,dupl_ref2,dupl_ref3,dupl_ref4,dupl_ref5,mr,mr_id,quality1_gold,quality2_gold,quality3_gold,quality4_gold,quality5_gold,ref1,ref2,ref3,ref4,ref5,sys1,sys2,sys3,sys4,sys5
1468391946,11/28/2017 14:51:43,3091798759,11/28/2017 14:42:14,False,prodege,0.8964,38202325,USA,ME,Limestone,98.13.82.121,ok,ok,ok,ok,ok,100,100,100,100,100,,,,,,,,,5.0,4.0,"name[Blue Spice], eatType[coffee shop], area[city centre]",1,,,,,,The city centre is a coffee shop called Blue Spice.,In city centre is a coffee shop called Blue Spice.,Blue Spice is a coffee shop located in the city centre .,Blue Spice is a coffee shop in the city centre.,Blue Spice is a coffee shop in the city centre.,tnt1,tr2,zhang,slug,tgen
1468391946,11/28/2017 15:00:14,3091815604,11/28/2017 14:59:38,False,superrewards,0.9341,43935355,USA,OH,Dayton,108.222.115.71,missing,missing,ok,ok,ok,60,60,100,100,100,,,,,,,,,5.0,4.0,"name[Blue Spice], eatType[coffee shop], area[city centre]",1,,,,,,The city centre is a coffee shop called Blue Spice.,In city centre is a coffee shop called Blue Spice.,Blue Spice is a coffee shop located in the city centre .,Blue Spice is a coffee shop in the city centre.,Blue Spice is a coffee shop in the city centre.,tnt1,tr2,zhang,slug,tgen
1468391946,11/28/2017 15:03:33,3091822659,11/28/2017 14:59:02,False,neodev,0.8206,44044795,USA,AZ,Lake Havasu City,47.216.44.153,ok,ok,ok,ok,ok,75,95,95,100,100,,,,,,,,,5.0,4.0,"name[Blue Spice], eatType[coffee shop], area[city centre]",1,,,,,,The city centre is a coffee shop called Blue Spice.,In city centre is a coffee shop called Blue Spice.,Blue Spice is a coffee shop located in the city centre .,Blue Spice is a coffee shop in the city centre.,Blue Spice is a coffee shop in the city centre.,tnt1,tr2,zhang,slug,tgen
1468391947,11/29/2017 20:10:23,3096196576,11/29/2017 20:08:55,False,clixsense,1.0,21665495,CAN,QC,Montréal,207.107.68.234,ok,added,ok,added,ok,90,80,100,90,100,,,,,,,,,,,"name[Blue Spice], eatType[coffee shop], area[riverside]",2,,,,,,blue spice is a coffee shop located near riverside.,There is a coffee shop in the riverside area called Blue Spice which has a low customer rating.,Blue spice is a coffee shop in the riverside area.,Blue Spice is located down by the riverside of Cambridge. It is also a coffee shop.,"In the riverside area, there is a coffee shop called Blue Spice.",tr1,zhaw1,chen,tr2,forge3
1468391947,11/29/2017 20:16:51,3096211979,11/29/2017 20:16:03,False,neodev,0.9279,43939704,USA,GA,Atlanta,104.129.18.48,added,missing,added,added,missing,100,80,90,95,75,,,,,,,,,,,"name[Blue Spice], eatType[coffee shop], area[riverside]",2,,,,,,blue spice is a coffee shop located near riverside.,There is a coffee shop in the riverside area called Blue Spice which has a low customer rating.,Blue spice is a coffee shop in the riverside area.,Blue Spice is located down by the riverside of Cambridge. It is also a coffee shop.,"In the riverside area, there is a coffee shop called Blue Spice.",tr1,zhaw1,chen,tr2,forge3
1468391947,11/29/2017 20:20:14,3096220652,11/29/2017 20:19:36,False,clixsense,0.8618,40925305,CAN,QC,Montréal,67.70.103.235,missing,added,ok,added,ok,100,90,98,80,90,,,,,,,,,,,"name[Blue Spice], eatType[coffee shop], area[riverside]",2,,,,,,blue spice is a coffee shop located near riverside.,There is a coffee shop in the riverside area called Blue Spice which has a low customer rating.,Blue spice is a coffee shop in the riverside area.,Blue Spice is located down by the riverside of Cambridge. It is also a coffee shop.,"In the riverside area, there is a coffee shop called Blue Spice.",tr1,zhaw1,chen,tr2,forge3
1468391948,12/2/2017 00:23:58,3102867558,12/2/2017 00:22:39,False,elite,0.9815,43906268,USA,DE,,108.59.0.13,ok,ok,ok,missing,ok,100,100,100,70,100,,,,,,5.0,,,,1.0,"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",3,,,,,,Blue spice is a coffee shop near crowne plaza hotel with a customer rating of 5 out of 5.,blue spice is a coffee shop near crowne plaza hotel. it has a 5 out of 5 customer rating.,A coffee shop near Crowne Plaza Hotel is Blue Spice. It has a customer rating of 5 out of 5.,Blue Spice is a pub near Crowne Plaza Hotel.,Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.,chen,tr1,zhaw2,sheff2,sheff1
1468391948,12/2/2017 04:39:22,3103412618,12/2/2017 04:38:40,False,gifthunterclub,0.7677,44054240,USA,TX,Dallas,209.58.148.5,missing,missing,added,ok,ok,70,80,70,90,90,,,,,,5.0,,,,1.0,"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",3,,,,,,Blue spice is a coffee shop near crowne plaza hotel with a customer rating of 5 out of 5.,blue spice is a coffee shop near crowne plaza hotel. it has a 5 out of 5 customer rating.,A coffee shop near Crowne Plaza Hotel is Blue Spice. It has a customer rating of 5 out of 5.,Blue Spice is a pub near Crowne Plaza Hotel.,Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.,chen,tr1,zhaw2,sheff2,sheff1
1468391948,12/2/2017 04:58:30,3103449896,12/2/2017 04:57:34,False,gifthunterclub,0.7576,44101328,USA,GA,Atlanta,104.129.18.203,ok,missing,ok,missing,added,80,80,90,80,80,,,,,,5.0,,,,1.0,"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",3,,,,,,Blue spice is a coffee shop near crowne plaza hotel with a customer rating of 5 out of 5.,blue spice is a coffee shop near crowne plaza hotel. it has a 5 out of 5 customer rating.,A coffee shop near Crowne Plaza Hotel is Blue Spice. It has a customer rating of 5 out of 5.,Blue Spice is a pub near Crowne Plaza Hotel.,Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.,chen,tr1,zhaw2,sheff2,sheff1
1468391949,11/30/2017 07:04:22,3097615011,11/30/2017 07:03:10,False,tremorgames,0.8903,36826029,CAN,ON,Ottawa,64.229.175.67,ok,ok,ok,added,missing,88,95,80,77,77,,,,,,,,,,,"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",4,,,,,,A coffee shop near Burger King is Blue Spice. It has an average customer rating.,The coffee shop Blue Spice is by Burger King. It has an average customer rating.,Blue Spice is located near to Burger King. It has an average rating and there is a coffee shop.,Blue Spice is a coffee shop near Burger King with an average customer rating and a cheap price range.,Blue Spice is a coffee shop located neat Burger King .,zhaw2,forge1,tr2,gong,adapt
1468391949,11/30/2017 10:30:11,3097902674,11/30/2017 10:28:47,False,clixsense,0.948,6377879,USA,IA,Council Bluffs,24.252.52.128,ok,ok,ok,added,missing,100,100,100,95,95,,,,,,,,,,,"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",4,,,,,,A coffee shop near Burger King is Blue Spice. It has an average customer rating.,The coffee shop Blue Spice is by Burger King. It has an average customer rating.,Blue Spice is located near to Burger King. It has an average rating and there is a coffee shop.,Blue Spice is a coffee shop near Burger King with an average customer rating and a cheap price range.,Blue Spice is a coffee shop located neat Burger King .,zhaw2,forge1,tr2,gong,adapt
1468391949,11/30/2017 11:59:09,3098046895,11/30/2017 11:56:37,False,elite,0.9148,43907748,USA,DE,,108.59.0.13,ok,ok,ok,missing,missing,90,100,90,90,70,,,,,,,,,,,"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",4,,,,,,A coffee shop near Burger King is Blue Spice. It has an average customer rating.,The coffee shop Blue Spice is by Burger King. It has an average customer rating.,Blue Spice is located near to Burger King. It has an average rating and there is a coffee shop.,Blue Spice is a coffee shop near Burger King with an average customer rating and a cheap price range.,Blue Spice is a coffee shop located neat Burger King .,zhaw2,forge1,tr2,gong,adapt
1468391950,11/29/2017 20:44:43,3096280489,11/29/2017 20:43:47,False,neodev,0.9279,43939704,USA,GA,Atlanta,104.129.18.38,ok,missing,missing,missing,missing,100,80,95,85,70,,,,,,,,,,,"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]",5,,,,,,Blue Spice is a coffee shop near Crowne Plaza Hotel with an average customer rating.,blue spice is a coffee shop near crowne plaza hotel. it has an average customer rating.,"With an average customer rating, Blue Spice is a coffee shop near Crowne Plaza Hotel.",Blue Spice is a coffee shop near the Crowne Plaza Hotel . It has an average customer rating .,Blue spice is a coffee shop near the crowne plaza hotel with an average customer rating.,nle,tr1,tnt1,zhang,chen
1468391950,11/29/2017 21:39:26,3096415447,11/29/2017 21:38:26,False,neodev,0.7772,43959305,USA,GA,Atlanta,104.129.18.22,ok,missing,added,missing,missing,100,65,55,75,80,,,,,,,,,,,"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]",5,,,,,,Blue Spice is a coffee shop near Crowne Plaza Hotel with an average customer rating.,blue spice is a coffee shop near crowne plaza hotel. it has an average customer rating.,"With an average customer rating, Blue Spice is a coffee shop near Crowne Plaza Hotel.",Blue Spice is a coffee shop near the Crowne Plaza Hotel . It has an average customer rating .,Blue spice is a coffee shop near the crowne plaza hotel with an average customer rating.,nle,tr1,tnt1,zhang,chen
