'name[Blue Spice], eatType[coffee shop], area[city centre]'	'Blue Spice is a coffee shop in the city centre.'
'name[Blue Spice], eatType[coffee shop], area[riverside]'	'In the riverside area is a coffee shop called Blue Spice.'
'name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Blue Spice is a highly rated coffee shop near Crowne Plaza Hotel.'
'name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]'	'Blue Spice is a coffee shop with an average customer rating. It is located near Burger King.'
'name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]'	'Blue Spice is a coffee shop with an average customer rating. It is located near Crowne Plaza Hotel.'
'name[Blue Spice], eatType[pub], area[city centre]'	'In the city centre, Blue Spice is a pub.'
'name[Blue Spice], eatType[pub], area[riverside]'	'Blue Spice is a pub by the riverside.'
'name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.'
'name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]'	'Blue Spice is a pub near Burger King with an average customer rating.'
'name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]'	'Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.'
'name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese pub near Rainbow Vegetarian Café in the city centre. It is not family friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly chinese pub located in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese pub near Rainbow Vegetarian Café in the riverside area. It is not family friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly chinese pub near Rainbow Vegetarian Café in the riverside area.'
'name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is an english pub near Rainbow Vegetarian Café in the city centre. It is not family-friendly.'
'name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family-friendly english pub located in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is an english pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.'
'name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly pub that serves english food near Rainbow Vegetarian Café in the riverside area.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese restaurant in the city centre near Rainbow Vegetarian Café. It is not family friendly.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly chinese restaurant located in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a non family friendly chinese restaurant located in the riverside area near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly chinese restaurant near Rainbow Vegetarian Café in the riverside area.'
'name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a non family-friendly english restaurant located in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family-friendly restaurant located in the city centre near Rainbow Vegetarian Café.'
