MR	output
name[Blue Spice], eatType[coffee shop], area[city centre]	There is a coffee shop Blue Spice in the city centre area.
name[Blue Spice], eatType[coffee shop], area[riverside]	In the riverside area, there is a coffee shop called Blue Spice.
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Near Crowne Plaza Hotel is Blue Spice coffee shop, with a customer rating of 5 out of 5.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is a coffee shop located near Burger King with an average customer rating.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	There is an average-rated coffee shop called Blue Spice located near Crowne Plaza Hotel.
name[Blue Spice], eatType[pub], area[city centre]	Blue Spice is a city centre pub.
name[Blue Spice], eatType[pub], area[riverside]	Blue Spice is a pub located in the riverside.
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Located near Crowne Plaza Hotel, Blue Spice pub has a customer rating of 5 out of 5.
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Near Burger King is Blue Spice pub. It has average customer ratings.
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice pub has an average customer rating and is located near Crowne Plaza Hotel.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub providing Chinese food. It is located in the city centre area, near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub near Rainbow Vegetarian Café in the city centre area. It is family-friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub serving Chinese food. It is not family-friendly. It is based in the riverside area near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice serves Chinese food that is kids-friendly. It is in the riverside area near Rainbow Vegetarian Café.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non family-friendly English pub, just a short distance from Rainbow Vegetarian Café in the city centre area.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly English pub, just a short distance from Rainbow Vegetarian Café in the city centre area.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	English food is available in a non children-friendly pub called Blue Spice, near Rainbow Vegetarian Café in the riverside area.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly pub. They serve English food and are located near Rainbow Vegetarian Café in the riverside area.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a restaurant providing Chinese food. It is located in the city centre area, near Rainbow Vegetarian Café.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a restaurant providing Chinese food. It is located in the city centre area, near Rainbow Vegetarian Café.
