'name[Blue Spice], eatType[coffee shop], area[city centre]'	'In the city centre Blue Spice is a coffee shop with a price range of more than £30.'
'name[Blue Spice], eatType[coffee shop], area[riverside]'	'Blue Spice is a high priced coffee shop in the riverside area.'
'name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'With a customer rating of 5 out of 5, Blue Spice is a coffee shop near Crowne Plaza Hotel.'
'name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]'	'Blue Spice is an average rated coffee shop near Burger King.'
'name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]'	'Blue Spice is an average rated coffee shop near Crowne Plaza Hotel.'
'name[Blue Spice], eatType[pub], area[city centre]'	'In the city centre is the pub Blue Spice.'
'name[Blue Spice], eatType[pub], area[riverside]'	'In the riverside area is Blue Spice pub.'
'name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.'
'name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]'	'Blue Spice is a pub near Burger King with an average customer rating.'
'name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]'	'Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.'
'name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a non-family-friendly pub serving chinese food in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly chinese pub in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese pub located near Rainbow Vegetarian Café in the riverside area. It is not family friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly chinese pub in the riverside area near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a non family-friendly english pub located in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family-friendly english pub in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is an english pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.'
'name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly english pub in the riverside area near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese restaurant in the city centre near Rainbow Vegetarian Café that is not family friendly.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly chinese restaurant in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a restaurant providing chinese food it is located in the riverside. It is not family friendly and is located near Rainbow Vegetarian Café.'
