name[Blue Spice], eatType[coffee shop], area[city centre]	Blue Spice is a coffee shop located in the city centre.
name[Blue Spice], eatType[coffee shop], area[riverside]	Blue Spice is a coffee shop located in the riverside area.
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice near Crowne Plaza Hotel is a coffee shop with a customer rating of 5 out of 5.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is an average rated coffee shop near Burger King.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is an average rated coffee shop near Crowne Plaza Hotel.
name[Blue Spice], eatType[pub], area[city centre]	Blue Spice pub located in the city centre.
name[Blue Spice], eatType[pub], area[riverside]	Blue Spice pub located in the riverside area.
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice pub near Crowne Plaza Hotel has a customer rating of 5 out of 5.
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice pub near Burger King has an average customer rating.
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice pub near Crowne Plaza Hotel has an average customer rating.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub located in the city centre near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub in the city centre near Rainbow Vegetarian Café it is family friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub located in the riverside near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub in riverside near Rainbow Vegetarian Café it is family friendly.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an English pub located in the city centre near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub serving English food near Rainbow Vegetarian Café in the city centre.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an English pub located in the riverside near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub serving English food near Rainbow Vegetarian Café in riverside.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant in the city centre near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant in the city centre near Rainbow Vegetarian Café it is family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant in riverside near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant in riverside near Rainbow Vegetarian Café it is family friendly.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an English restaurant in the city centre near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is an English restaurant in the city centre near Rainbow Vegetarian Café it is family friendly.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an English restaurant located in riverside near Rainbow Vegetarian Café it is not family friendly.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is an English restaurant in riverside near Rainbow Vegetarian Café is a family friendly.
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Clowns near All Bar One is a coffee shop with a customer rating of 3 out of 5.
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns near Crowne Plaza Hotel is a coffee shop with a customer rating of 5 out of 5.
name[Clowns], eatType[coffee shop], near[The Sorrento]	Clowns near The Sorrento is a coffee shop.
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Clowns pub near All Bar One with a customer rating of 3 out of 5.
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns pub near Crowne Plaza Hotel has a customer rating of 5 out of 5.
name[Clowns], eatType[pub], near[The Sorrento]	Clowns pub near The Sorrento.
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	Cocum is a high rated coffee shop near Burger King.
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	Cocum is a high rated coffee shop near Café Sicilia.
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	Cocum is a coffee shop near Café Sicilia it has a low customer rating.
name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Cocum is a coffee shop near Express by Holiday Inn it has a low customer rating.
name[Cocum], eatType[coffee shop], near[The Rice Boat]	Cocum near The Rice Boat is a coffee shop.
name[Cocum], eatType[coffee shop], near[The Sorrento]	Cocum near The Sorrento is a coffee shop.
name[Cocum], eatType[pub], customer rating[high], near[Burger King]	Cocum pub near Burger King has a high customer rating.
name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]	Cocum pub near Café Sicilia has a high customer rating.
name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]	Cocum pub near Café Sicilia with a low customer rating.
name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Cocum pub near Express by Holiday Inn with a low customer rating.
name[Cocum], eatType[pub], near[The Rice Boat]	Cocum pub near The Rice Boat.
name[Cocum], eatType[pub], near[The Sorrento]	Cocum pub near The Sorrento.
name[Cotto], eatType[coffee shop], near[The Bakers]	Cotto near The Bakers is a coffee shop.
name[Cotto], eatType[pub], near[The Bakers]	Cotto pub near The Bakers.
name[Giraffe], eatType[coffee shop], near[The Bakers]	Giraffe near The Bakers is a coffee shop.
name[Giraffe], eatType[coffee shop], near[The Rice Boat]	Giraffe near The Rice Boat is a coffee shop.
name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Giraffe is a family friendly pub serving English food near Rainbow Vegetarian Café in riverside.
name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Giraffe is a Fast food pub located in the city centre near Rainbow Vegetarian Café it is not family friendly.
