MR	output
'name[Blue Spice], eatType[coffee shop], area[city centre]'	'The city centre is a coffee shop called Blue Spice.'
'name[Blue Spice], eatType[coffee shop], area[riverside]'	'In the riverside area, Blue Spice is a coffee shop.'
'name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'With a customer rating of 5 out of 5, Blue Spice is a coffee shop near Crowne Plaza Hotel.'
'name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]'	'With an average customer rating, Blue Spice is a coffee shop near Burger King.'
'name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]'	'With an average customer rating, Blue Spice is a coffee shop near Crowne Plaza Hotel.'
'name[Blue Spice], eatType[pub], area[city centre]'	'The pub in the city centre is Blue Spice.'
'name[Blue Spice], eatType[pub], area[riverside]'	'In the riverside area, Blue Spice is a pub.'
'name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]'	'Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.'
'name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]'	'Blue Spice is a pub near Burger King with an average customer rating.'
'name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]'	'Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.'
'name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese pub located in the city centre near Rainbow Vegetarian Café. It is not family friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly chinese pub in the city centre near Rainbow Vegetarian Café.'
'name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]'	'Blue Spice is a chinese pub near Rainbow Vegetarian Café in the riverside area. It is not family friendly.'
'name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]'	'Blue Spice is a family friendly chinese pub near Rainbow Vegetarian Café in the riverside area.'
